 0 , 831850,  835031,  3181 
291 , 1146817,  1385365,  238548 , 1634466 
292 , 1957807,  2196829,  239022 , 1622454 
293 , 2774915,  3014363,  239448 , 1634642 
294 , 3585849,  3825666,  239817 , 1622237 
295 , 4403086,  4643408,  240322 , 1634979 
296 , 5213836,  5454685,  240849 , 1622027 
297 , 6031020,  6272319,  241299 , 1634818 
298 , 6841868,  7083610,  241742 , 1622139 
299 , 7659122,  7901322,  242200 , 1634966 
300 , 8469887,  8712563,  242676 , 1622006 
301 , 9287147,  9530232,  243085 , 1634929 
302 , 10097940,  10341472,  243532 , 1622033 
303 , 10915134,  11159075,  243941 , 1634797 
304 , 11726013,  11970450,  244437 , 1622254 
305 , 12543159,  12788079,  244920 , 1634775 
306 , 13354004,  13599364,  245360 , 1622130 
307 , 14171212,  14417047,  245835 , 1634891 
308 , 14982009,  15228334,  246325 , 1622084 
309 , 15799264,  16046058,  246794 , 1634979 
310 , 16610070,  16857261,  247191 , 1622009 
311 , 101084,  231765,  130681 , 8556800110 
312 , 913514,  1044398,  130884 , 1625063 
313 , 1728402,  1859443,  131041 , 1629933 
314 , 2540902,  2672095,  131193 , 1625152 
315 , 3355883,  3487248,  131365 , 1630134 
316 , 4168380,  4299908,  131528 , 1625157 
317 , 4983348,  5115043,  131695 , 1630103 
318 , 5795856,  5927729,  131873 , 1625194 
319 , 6610827,  6742853,  132026 , 1630095 
320 , 7423348,  7555532,  132184 , 1625200 
321 , 8238336,  8370682,  132346 , 1630138 
322 , 9050884,  9183413,  132529 , 1625279 
323 , 9865832,  9998549,  132717 , 1630084 
324 , 10678371,  10811249,  132878 , 1625239 
325 , 11493346,  11626395,  133049 , 1630121 
326 , 12305903,  12439119,  133216 , 1625281 
327 , 13120889,  13254299,  133410 , 1630166 
328 , 13933337,  14066929,  133592 , 1625078 
329 , 14748368,  14882120,  133752 , 1630222 
330 , 15560846,  15694786,  133940 , 1625144 
331 , 16375882,  16510006,  134124 , 1630256 
